er,fr
You have no one but yourself to blame.,Tu ne peux blâmer quiconque d'autre que toi-même.
Your loving friend.,Ton ami bien aimé.
I read your new book with real delight.,J'ai lu votre nouveau livre avec un réel plaisir.
Your new dress becomes you very well.,Ta nouvelle robe te va très bien.
Your new dress becomes you very well.,Votre nouvelle robe vous va très bien.
Your behavior is creating a lot of problems.,Ton comportement crée des problèmes.
I am far from pleased with your behavior.,Je suis loin d'être satisfait de ton comportement.
I didn't mean to hurt you.,Je ne voulais pas te blesser.
I didn't mean to hurt you.,Je ne comptais pas te blesser.
I didn't mean to hurt you.,Je n'avais pas l'intention de te faire de la peine.
"As you make your bed, you must lie on it.","Comme on fait son lit, on se couche."
I don't like your taste in color.,Je n'aime pas votre goût pour les couleurs.
I don't like your taste in color.,Je n'aime pas ton goût pour les couleurs.
We will make an exception of your case.,Nous ferons une exception dans votre cas.
We will make an exception of your case.,Nous ferons une exception dans ton cas.
I like the way you smile.,J'aime ta façon de sourire.
Let's have a serious talk about your future.,Parlons sérieusement de ton avenir.
Let's have a serious talk about your future.,Parlons sérieusement de votre avenir.
Your advice is always helpful to me.,Votre conseil m'est toujours utile.
I expect your help.,Je compte sur votre aide.
I expect your help.,Je compte sur ton aide.
I don't need your help.,Je n'ai pas besoin de ton aide.
I don't need your help.,Je n'ai pas besoin de votre aide.
"Without your help, we wouldn't be able to carry out our plan.","Sans votre aide, nous ne serions pas en mesure de mener à bien notre plan."
"Without your help, we wouldn't be able to carry out our plan.","Sans ton aide, nous ne serions pas en mesure de dérouler notre plan."
He is equal to the task.,Il est à la hauteur de la tâche.
We'll start whenever you are ready.,Nous commencerons dès que vous êtes prêt.
We'll start whenever you are ready.,Nous commencerons dès que tu es prêt.
The ice will give under your weight.,La glace va céder sous ton poids.
The ice will give under your weight.,La glace va céder sous votre poids.
Write your address here.,Écrivez votre adresse ici.
Write your address here.,Inscris ici ton adresse.
Write your address here.,Inscrivez ici votre adresse.
Your income is three times larger than mine.,Tes revenus sont le triple des miens.
I'll miss your cooking.,Votre cuisine va me manquer.
I'll miss your cooking.,Ta cuisine me manquera.
This happened prior to receiving your letter.,Ceci est survenu avant la réception de ta lettre.
This happened prior to receiving your letter.,Ceci est survenu avant la réception de votre lettre.
I received your letter yesterday.,J'ai reçu votre lettre hier.
I received your letter yesterday.,J'ai reçu ta lettre hier.
Your letter made me happy.,Ta lettre m'a rendu heureux.
Your letter made me happy.,Ta lettre m'a rendue heureuse.
What position do you hold?,Quel est votre poste ?
What position do you hold?,Quel poste occupez-vous ?
What position do you hold?,Quel poste occupes-tu ?
What position do you hold?,Quel est ton poste ?
Are your hands clean?,Tes mains sont-elles propres ?
Are your hands clean?,Vos mains sont-elles propres ?
Your argument is not any more convincing than that of my stubborn father.,Ton argument n'est pas plus convaincant que celui de mon entêté de père.
Please lend me your car.,"S'il te plaît, prête-moi ta voiture."
Would you mind lending me your car?,Voudriez-vous bien me prêter votre voiture ?
Would you mind lending me your car?,Voudrais-tu bien me prêter ta voiture ?
Your car makes too much noise. You should have it looked at.,Votre voiture est trop bruyante. Vous devriez la faire inspecter.
Give me a lift in your car.,Dépose-moi avec ta voiture.
"Compared with yours, my car is small.","Comparée à ta voiture, la mienne est petite."
What have you done with your car?,Qu'as-tu fait de ta voiture ?
What have you done with your car?,Qu'avez-vous fait de votre voiture ?
It is important that you attach your photo to the application form.,Il est important que vous joigniez votre photo au formulaire de candidature.
May I take your picture?,Puis-je prendre votre photo ?
I would like your picture.,J'aimerais avoir ta photo.
Your question does not bear on the subject under discussion.,Votre question ne concerne pas le sujet discuté.
Your question is not relevant to the subject.,Ta question n'a pas de rapport avec le sujet.
Your question is not relevant to the subject.,Votre question ne se réfère pas au sujet.
Your questions were too direct.,Vos questions étaient trop directes.
Your questions were too direct.,Tes questions étaient trop directes.
Your question is hard for me to answer.,Il m'est difficile de répondre à ta question.
Your question is hard for me to answer.,Il m'est difficile de répondre à votre question.
You have Jim to thank for your failure.,Tu peux remercier Jim pour ton échec.
Will you lend me your dictionary?,Veux-tu me prêter ton dictionnaire ?
Will you lend me your dictionary?,Me prêterez-vous votre dictionnaire ?
May I borrow your dictionary?,Puis-je emprunter ton dictionnaire ?
May I borrow your dictionary?,Est-ce que je peux vous emprunter votre dictionnaire ?
Look up the definition of 'guy' in your dictionary.,"Regarde la définition de ""mec"" dans ton dictionnaire."
Look up the words in your dictionary.,Cherchez les mots dans votre dictionnaire.
Look up the words in your dictionary.,Cherche les mots dans ton dictionnaire.
Could you lend me your bicycle for a couple of days?,Pourrais-tu me prêter ton vélo pendant deux jours ?
Your bicycle is similar to mine.,Votre vélo est similaire au mien.
Your bicycle is similar to mine.,Ton vélo est similaire au mien.
Your bike is better than mine.,Votre vélo est meilleur que le mien.
Your bike is better than mine.,Ton vélo est meilleur que le mien.
Is your watch correct?,Votre montre est-elle exacte ?
Is your watch correct?,Ta montre est-elle exacte ?
Your watch seems to be very valuable.,Ta montre me semble valoir très cher.
Your watch is similar to mine in shape and color.,Votre montre est semblable à la mienne en termes de forme et de couleur.
Your watch is more expensive than mine.,Ta montre coûte plus cher que la mienne.
Your watch is ten minutes slow.,Ta montre a dix minutes de retard.
Your watch is ten minutes slow.,Votre montre a dix minutes de retard.
What time is it by your watch?,Quelle heure est-il sur ta montre ?
What time is it by your watch?,Quelle heure est-il à ta montre ?
What time is it by your watch?,Quelle heure est-il à votre montre ?
Where are your things?,Où sont tes affaires ?
Where are your things?,Où sont vos affaires ?
It is not my part to meddle in your affairs.,Je n'ai pas l'intention de m'immiscer dans vos affaires.
Your examination results are excellent.,Vos résultats d'examen sont excellents.
"Your point may be a little off target, but it certainly is close.","Ta position est peut-être un peu à coté de la cible, mais tout de même proche."
Just follow your heart.,Suis juste ton cœur.
Just follow your heart.,Suivez juste votre cœur !
Your sister enjoys watching sumo wrestling on TV.,Ta sœur aime bien regarder la lutte sumo à la télé.
Your sister's as beautiful as ever.,Votre sœur est toujours aussi belle.
Your sister's as beautiful as ever.,Ta sœur est toujours aussi belle.
I am only too glad to help you with your work.,Je suis seulement trop content de t'aider dans ton travail.
Your work is below average.,Ton travail est en dessous de la moyenne.
Your work comes short of the expected standard.,Votre travail n'est pas à la hauteur de ce qui est attendu.
What do you do?,Que fais-tu ?
What do you do?,Que faites-vous ?
Your work has greatly improved.,Ton travail s'est grandement amélioré.
How is your work coming along?,Comment progresse ton travail ?
When your business gets rolling we'll talk about an increase.,"Quand les affaires tourneront, nous parlerons d'une augmentation."
May we accompany you on your walk?,Peut-être que nous pourrions t'accompagner sur le chemin ?
I left your umbrella in the bus.,J'ai laissé ton parapluie dans le bus.
Your English composition is above the average.,Votre dissertation anglaise est au-dessus de la moyenne.
"Your composition is very good, and it has few mistakes.","Ta rédaction est très bonne, et comporte peu de fautes."
The trouble with you is that you talk too much.,"Le problème avec toi, c'est que tu parles trop."
The trouble with you is that you talk too much.,"Le problème avec vous, c'est que vous parlez trop."
Where do you come from?,Tu viens d'où ?
Where do you come from?,D'où viens-tu ?
Where do you come from?,D'où venez-vous ?
Do you eat rice in your country?,Mangez-vous du riz dans votre pays ?
You should come early in order for him to read your manuscript before your speech.,Vous devriez arriver tôt pour qu'il puisse lire votre manuscrit avant votre discours.
Your conduct is perfectly legal.,Ta conduite est parfaitement légale.
Your conduct doesn't become a gentleman.,Votre conduite ne sied pas à un gentilhomme.
Your behavior is in conflict with your principles.,Votre comportement contredit vos principes.
Your behavior is quite out of place.,Ton comportement est déplacé.
Your behavior is quite out of place.,Votre comportement est déplacé.
Your behavior is too extraordinary.,Ta conduite est trop extravagante.
Your behavior admits of no excuse.,Votre comportement est inexcusable.
Your behavior leaves much to be desired.,Ton comportement laisse beaucoup à désirer.
You are not consistent in your actions.,Tu n'es pas cohérent dans tes actions.
Your action has offended his dignity.,Votre action a offensé sa dignité.
Your action has offended his dignity.,Ton action a offensé sa dignité.
Your conduct is beyond bearing.,Ta conduite est au-delà du supportable.
What you did brought disgrace on the whole class.,Ce que tu as fait a déshonoré toute la classe.
I am ashamed of your conduct.,J'ai honte de ta conduite.
I am ashamed of your conduct.,J'ai honte de votre conduite.
Show me a fact which supports your idea.,Montre-moi un fait qui appuie ton idée.
Please sum up your idea.,Veuillez résumer votre idée.
Please sum up your idea.,Résume s'il te plaît ton idée.
Please sum up your idea.,"S'il vous plaît, résumez vos idées."
Express your idea clearly.,Exprime ton idée clairement.
We have decided to adopt your idea.,Nous avons décidé d'adopter ton idée.
We have decided to adopt your idea.,Nous avons décidé d'adopter votre idée.
Your ideas are different from mine.,Vos idées sont différentes des miennes.
Your guess is almost right.,Vous avez presque deviné juste.
Your guess is almost right.,Tu as presque deviné juste.
We all consider that your idea is impractical.,Nous considérons tous que ton idée est impraticable.
We all consider that your idea is impractical.,Nous considérons tous que votre idée est impraticable.
Your idea is absolutely impossible.,Ton idée est complètement impossible.
Your idea seems to be similar to mine.,Ton idée semble similaire à la mienne.
Your ideas are quite old fashioned.,Tes idées sont un peu vieux jeu.
Your ideas are quite old fashioned.,Vos idées sont un peu vieux jeu.
Your ideas are quite old fashioned.,Tes idées sont un peu dépassées.
Your thoughts are of no significance at all.,Vos idées sont insignifiantes.
Your idea differs entirely from mine.,Ton idée est complètement différente de la mienne.
I liked your idea and adopted it.,J'ai aimé ton idée et l'ai adoptée.
I envy you your luck.,J'envie ta chance.
I envy you your luck.,J'envie votre chance.
You may invite any person you like.,Vous pouvez inviter qui vous voulez.
Choose your favorite racket.,Choisissez votre raquette préférée.
Do as you like.,Fais comme il te plaira !
Do as you like.,Fais comme tu veux.
Do as you like.,Faites comme il vous plaira.
Do as you like.,Faites comme vous voulez.
Make your choice.,Fais ton choix.
Make your choice.,Faites votre choix.
You have the freedom to travel wherever you like.,Tu as la liberté de voyager où bon te semble.
I am amazed at your audacity.,Je suis étonné par ton audace.
Your words are as good as violence.,Vos paroles sont une forme de violence.
I know what you mean.,Je sais ce que tu veux dire.
I know what you mean.,Je sais ce que vous voulez dire.
What you are saying does not make sense.,Ce que tu dis n'a pas de sens.
What you are saying does not make sense.,Ce que vous dites n'a pas de sens.
What you are saying is nothing but building a castle in the air.,Ce que tu dis n'est rien d'autre que de bâtir des châteaux en Espagne.
I don't quite follow you.,Je ne te suis pas très bien.
You're just being diplomatic.,Tu veux juste paraître diplomate.
You are not consistent.,Tu n'es pas cohérent.
It appears to me that you are right.,Il m'apparaît que vous avez raison.
It appears to me that you are right.,Il m'apparaît que tu as raison.
She cannot have understood what you said.,Elle ne peut pas avoir compris ce que tu as dit.
What you said does not apply to this case.,Ce que tu dis ne s'applique pas à ce cas.
What you said does not apply to this case.,Ce que vous dites ne s'applique pas dans ce cas.
I think you're right.,Je crois que tu as raison.
I think you're right.,Je crois que vous avez raison.
I think you're right.,Je pense que vous avez raison.
I think you're right.,Je pense que tu as raison.
"I admit that what you say is true, but I don't like the way you say it.","Même en admettant ce que vous dites, je n'aime pas la façon que vous avez de le dire."
"While I accept what you say, I still think I'm right.","En admettant ce que vous dites, je crois toujours que j'ai raison."
You may be right.,Tu as peut-être raison.
You may be right.,Vous avez peut-être raison.
You may be right.,Il se peut que tu aies raison.
You may be right.,Il se peut que vous ayez raison.
What you say is right.,Ce que vous dîtes est vrai.
Your words must correspond with your actions.,Tes paroles doivent correspondre à tes actions.
Aren't you pushing it too far?,Ne pousses-tu pas le bouchon trop loin ?
Aren't you pushing it too far?,Ne poussez-vous pas le bouchon trop loin ?
All that you say is perfectly correct.,Tout ce que vous dites est parfaitement correct.
All that you say is perfectly correct.,Tout ce que tu dis est parfaitement correct.
What you say is usually true.,Ce que vous dîtes est habituellement vrai.
What you say is quite different from what I heard from him.,Ce que tu me dis est complètement différent de ce que j'ai entendu de sa part.
I can't see what you mean.,Je n'arrive pas à voir ce que vous voulez dire.
I can't see what you mean.,Je n'arrive pas à me figurer ce que tu veux dire.
You should pay more attention to what you say.,Tu devrais faire plus attention à ce que tu dis.
There is much truth in what you say.,Il y a beaucoup de vérité dans ce que vous dites.
There is much truth in what you say.,Il y a beaucoup de vérité dans ce que tu dis.
"If what you say is true, it follows that he has an alibi.","Si ce que vous dites est vrai, il s'ensuit qu'il a un alibi."
I don't follow.,Je ne suis pas.
I don't get what you mean.,Je ne comprends pas ce que vous voulez dire.
Your study will bear fruit.,Votre étude portera ses fruits.
Your study will bear fruit.,Ton étude portera ses fruits.
Your dog may be really depressed.,Il se peut que votre chien soit en dépression.
What's become of your dog?,Qu'est-il advenu de ton chien ?
I have been anxious about your health.,Je me suis inquiété pour ta santé.
I envy your good health.,Je vous envie votre bonne santé.
I envy your good health.,J'envie ta bonne santé.
Your conclusion is highly arguable.,Votre conclusion est fort discutable.
Your conclusion is highly arguable.,Ta conclusion est hautement polémique.
Your decision is open to some debate.,Votre décision prête à discussion.
"You can go or stay, as you wish.","Tu peux partir ou rester, comme tu le souhaites."
I'm sorry to upset your plans.,Je suis désolé de décevoir tes plans.
I'm sorry to upset your plans.,Je suis désolé de décevoir vos plans.
I will go along with your plan.,J'accompagnerai votre plan.
Your plan is of no earthly use.,Votre projet n'a aucune utilité concevable.
Your scheme is like a house built on the sand.,Votre projet est pareil à une maison qui serait construite sur du sable.
Your plan is bound to fail.,Votre plan est condamné à l'échec.
Tell me the object of your plan.,Faites-moi part de l'objet de votre plan.
Your plan seems better than mine.,Votre plan semble meilleur que le mien.
I approve of your plan.,J'approuve votre plan.
I approve of your plan.,J'approuve ton plan.
Tell me about your plan.,Parle-moi de ton plan.
Tell me about your plan.,Parlez-moi de votre plan.
There is a big hole in your stocking.,Il y a un gros trou à ton collant.
Your shoes do not go with the suit.,Tes chaussures ne vont pas avec ce vêtement.
Your shoes are here. Where are mine?,Vos chaussures se trouvent ici. Où sont les miennes ?
Your shoes are here.,Tes chaussures sont ici.
Your shoes are here.,Vos souliers sont ici.
I'm sick of listening to your complaints.,Je suis fatigué d'écouter tes plaintes.
I cannot help laughing at your folly.,Je ne peux m'empêcher de rire devant ta bêtise.
You can read any book that interests you.,Vous pouvez lire n'importe quel livre qui vous intéresse.
It is not wise to put your money on a horse.,Il n'est pas sage de mettre ton argent sur un cheval.
I forbid you to smoke.,Je t'interdis de fumer.
His argument is more radical than yours.,Son argument est plus radical que le vôtre.
"The sooner you return, the happier your father will be.","Le plus tôt tu reviendras, le plus heureux sera ton père."
Leave your desk as it is.,Laisse ton bureau tel qu'il est.
Your wish will come true in the near future.,Votre souhait se réalisera dans un proche avenir.
Your wish will come true in the near future.,Ton souhait se réalisera dans un proche avenir.
What's your wish?,Quel est votre souhait ?
What's your wish?,Quel est ton souhait ?
Your eyes remind me of stars.,Tes yeux me rappellent des étoiles.
That is no business of yours.,Ce n'est pas ton affaire.
That is no business of yours.,Ce n'est pas votre affaire.
That is no business of yours.,Ce ne sont pas vos affaires.
That is no business of yours.,C'est pas tes affaires.
Where is your school?,Où se trouve ton école ?
Where is your school?,Où est ton école ?
How many pupils are there in your school?,Combien d'élèves y a-t-il dans votre école ?
Your singing puts professional singers to shame.,Votre chant ferait pâlir un chanteur professionnel.
Your house needs repairing.,Votre maison nécessite des réparations.
Your house needs repairing.,Ta maison nécessite des réparations.
What direction does your house face?,À quelle direction votre maison fait-elle face ?
What direction does your house face?,Ta maison fait face à quelle direction ?
Make a sketch of your house.,Fais un croquis de ta maison.
Make a sketch of your house.,Faites un croquis de votre maison.
How many rooms are there in your house?,Combien de pièces y a-t-il dans votre maison ?
Let's meet halfway between your house and mine.,Rencontrons-nous à mi-chemin entre ta maison et la mienne.
Let's discuss your love problems on the way back from school.,Discutons de tes problèmes sentimentaux en revenant de l'école.
Let's discuss your love problems on the way back from school.,Discutons de tes problèmes sentimentaux au retour de l'école.
The time has come for you to play your trump card.,C'est le moment pour toi de jouer ton atout.
The time has come for you to play your trump card.,C'est le moment pour vous de jouer votre carte maîtresse.
Can I use your pencil?,Puis-je utiliser votre crayon ?
Can I use your pencil?,Puis-je utiliser ton crayon ?
Your pencils need sharpening.,Tes crayons doivent être aiguisés.
Your pencils need sharpening.,Vos crayons doivent être aiguisés.
Your pencils need sharpening.,Il faut tailler tes crayons.
Your pencils need sharpening.,Il faut tailler vos crayons.
You burnt a hole in my coat with your cigarette.,Vous avez fait un trou dans mon manteau avec votre cigarette.
Your speech will be recorded in history.,Ton discours marquera l'histoire.
I count on your help.,Je compte sur votre aide.
I count on your help.,Je compte sur ton aide.
Without your assistance I would have failed.,Sans ton aide je n'aurais pas réussi.
Your English is improving.,Ton anglais fait des progrès.
Your English is improving.,Votre anglais s'améliore.
Your English is perfect.,Votre anglais est parfait.
I think your English has improved a lot.,Je pense que votre anglais s'est beaucoup amélioré.
I think your English has improved a lot.,Je pense que ton anglais s'est beaucoup amélioré.
Your English has improved a lot.,Ton anglais s'est grandement amélioré.
Your English has improved a lot.,Votre anglais s'est sensiblement amélioré.
Your English has improved a lot.,Ton anglais s'est beaucoup amélioré.
Your method of teaching English is absurd.,Ta méthode d'enseigner l'anglais est absurde.
Your method of teaching English is absurd.,Votre méthode d'enseigner l'anglais est absurde.
I want your opinion.,Je veux votre opinion.
I want your opinion.,Je veux ton avis.
I want your opinion.,Je veux ton opinion.
Your opinion is far different from mine.,Nos avis divergent complètement.
Your opinion is very constructive.,Ton opinion est très constructive.
I agree with some of your opinions.,Je suis d'accord avec certaines de tes opinions.
Are your opinions representative of those of the other students?,Vos opinions sont-elles représentatives de celles des autres étudiants ?
Granting that favor is out of the question.,Accorder cette faveur est hors de question.
Do you think that you can put your idea into practice?,Penses-tu que tu puisses mettre ton idée en pratique ?
Do you think that you can put your idea into practice?,Pensez-vous pouvoir mettre votre idée en pratique ?
Your idea sounds like a good one.,Ton idée semble être une bonne idée.
It all depends how you handle it.,Cela dépend de comment vous le gérez.
It all depends how you handle it.,Cela dépend de ta manière de le gérer.
I'll study your report.,Je vais étudier ton rapport.
I'll study your report.,J'étudierai votre rapport.
I'll study your report.,J'étudierai ton rapport.
I'll study your report.,Je vais étudier votre rapport.
I was disappointed with your paper.,J'ai été déçu par votre papier.
I was disappointed with your paper.,J'ai été déçu par ton papier.
"If it had not been for your raincoat, I would have been drenched to the skin.","Si ce n'avait été pour votre imperméable, j'aurais été trempé jusqu'aux os."
"Had it not been for your raincoat, I would have been drenched to the skin.","Sans votre imperméable, j'aurais été trempé jusqu'aux os."
Will you give me your radio for my bicycle?,Peux-tu me donner ta radio pour mon vélo ?
Your selfishness will lose you your friends.,Votre égoïsme vous fera perdre des amis.
Your sense of humor is beginning to exert itself.,Ton sens de l'humour commence à s'exercer.
I am losing my patience with you.,Je perds patience avec toi.
I am losing my patience with you.,Je perds patience avec vous.
Your method is different from mine.,Tes méthodes sont différentes des miennes.
You're on the right track.,Tu es sur la bonne pente.
You're on the right track.,Vous êtes sur la bonne piste.
You're on the right track.,Tu es en bonne voie.
Your time is up.,Votre temps est écoulé.
Your time is up.,Ton temps est écoulé.
It was very hard for me to find your flat.,Il m'a été très difficile de trouver ton appartement.
What's new with you? How is your new job working out?,Quoi de neuf ? Comment se passe ton nouvel emploi ?
Can I use your pen?,Puis-je faire usage de votre stylo ?
Can I use your pen?,Puis-je utiliser ton stylo ?
Your pen is better than mine.,Ton stylo est meilleur que le mien.
Your pen is better than mine.,Votre stylo est meilleur que le mien.
"As you make your bed, so you must lie in it.","Comme on fait son lit, on se couche."
Your plan sounds great.,Votre plan semble excellent.
Your plan sounds great.,Ton plan semble excellent.
Your pitching is far superior to mine.,Ton lancer est bien meilleur que le mien.
Your pitching is far superior to mine.,Votre lancer est bien meilleur que le mien.
Your tie blends well with your suit.,Votre cravate se marie bien avec votre costume.
Your tie has come undone.,Ta cravate est défaite.
Your dress is very nice.,Ta robe est très jolie.
I'll give you a call before I visit you.,Je vous appellerai avant de vous rendre visite.
I'll come to your place.,Je vais passer chez toi.
I'm glad that your team won the game.,Je suis content que ton équipe ait gagné la partie.
I have good news in store for you.,J'ai de bonnes nouvelles en réserve pour toi.
I have good news in store for you.,J'ai de bonnes nouvelles en réserve pour vous.
I'll make a model plane for you.,Je ferai un avion en modèle réduit pour toi.
Choose such friends as will benefit you.,Choisis tes amis de sorte qu'ils te profitent.
I will do all I can for you.,Je ferai tout ce que je peux pour toi.
I will do all I can for you.,Je ferai tout ce que je peux pour vous.
"Don't be angry with me, for I did it for your sake.","Ne sois pas en colère contre moi, car je l'ai fait pour toi."
I am ready to do anything for you.,Je suis prêt à faire n'importe quoi pour toi.
I am ready to do anything for you.,Je suis prêt à tout faire pour vous.
I am ready to do anything for you.,Je suis prêt à tout faire pour toi.
I am ready to do anything for you.,Je suis prête à tout faire pour toi.
I am ready to do anything for you.,Je suis prête à tout faire pour vous.
I will do anything for you.,Je ferai n'importe quoi pour vous.
I'd do any damn thing for you.,Je ferais n'importe quoi pour toi.
I'd jump through hoops for you.,Je sauterais dans des cerceaux pour toi.
What's the weight of your suitcase?,Quel est le poids de votre valise ?
What's the weight of your suitcase?,Combien pèse ta valise ?
What's the weight of your suitcase?,Quel est le poids de ta valise ?
Your shirt button is coming off.,Ton bouton de chemise est en train de partir.
I respect you for what you have done.,Je te respecte pour ce que tu as fait.
We are worried about you.,Nous nous inquiétons pour toi.
We are worried about you.,Nous sommes inquiets à votre sujet.
I have absolute trust in you.,J'ai une totale confiance en toi.
I have absolute trust in you.,J'ai une absolue confiance en vous.
Is this your glass or your sister's?,Est-ce que c'est votre verre ou celui de votre sœur ?
Is this your glass or your sister's?,Est-ce ton verre ou celui de ta sœur ?
Is this your glass or your sister's?,Est-ce votre verre ou celui de votre sœur ?
Your cake is delicious.,Ton gâteau est délicieux.
Your cake is delicious.,Votre gâteau est délicieux.
How many are there in your class?,Combien y en a-t-il dans ta classe ?
How many are there in your class?,Combien sont là dans ta classe ?
Your collar has a stain on it.,Ton collet est taché.
Your camera is not as excellent as my camera.,Ta caméra n'est pas aussi bonne que la mienne.
Your camera is only half the size of mine.,Ta caméra n'a que la moitié de la taille de la mienne.
Your camera is only half the size of mine.,Ton appareil photo est seulement deux fois plus petit que le mien.
Here is your bag.,Ton sac est ici.
Here is your bag.,Voici ton sac.
Here is your bag.,Voilà ton sac.
Here is your bag.,Voici ton sac !
I took your umbrella by mistake.,J'ai pris ton parapluie par erreur.
You'll get into trouble if your girlfriend finds out the truth.,Tu auras des problèmes si ta copine apprend la vérité.
Your mother is in critical condition.,Ta mère est dans un état critique.
Your mother is in critical condition.,Ta mère se trouve dans un état critique.
Your mother must have been beautiful when she was young.,Ta mère a dû être belle lorsqu'elle était jeune.
I think your father hoped you would go to college.,Je pense que ton père espérait que tu irais au lycée.
A friend of your father's friend is not always your father's friend.,Un ami d'un ami de ton père n'est pas forcément un ami de ton père.
I'd like to see your father.,Je voudrais voir ton père.
Your sister looks as noble as if she were a princess.,Ta sœur a un air si noble qu'on dirait une princesse.
Is your uncle still abroad?,Ton oncle est-il toujours à l'étranger ?
What does your aunt do?,Que fait ta tante ?
Where does your uncle live?,Où habite ton oncle ?
"Thanks to your help, I could succeed.","Grâce à ton aide, j'ai pu réussir."
"Thanks to you, I spent all my money.","Grâce à toi, j'ai dépensé tout mon argent."
"Thanks to you, I spent all my money.","Grâce à vous, j'ai dépensé tout mon argent."
I have no idea what you mean.,Je ne comprends pas ce que tu veux dire.
I have no idea what you mean.,Je ne comprends pas du tout ce que tu dis.
I believe you.,Je te crois.
I believe you.,Je vous crois.
I don't agree with you.,Je ne suis pas d'accord avec toi.
I don't agree with you.,Je ne suis pas d'accord avec vous.
Your idea cannot be brand new. I heard about it from another source last year.,"Ton idée ne peut pas être toute nouvelle, j'en ai entendu parler par une autre source l'année dernière."
Your idea cannot be brand new. I heard about it from another source last year.,"Votre idée ne peut pas être toute nouvelle, j'en ai entendu parler par une autre source l'année dernière."
Your idea is definitely worth thinking about.,Votre idée mérite vraiment réflexion.
Your idea is definitely worth thinking about.,Ton idée mérite vraiment réflexion.
I regret that I told you.,Je regrette de te l'avoir dit.
I have something to tell you.,J'ai quelque chose à te dire.
I was almost afraid to talk to you.,J'avais presque peur de te parler.
I have some good news for you.,J'ai quelques bonnes nouvelles pour toi.
I will find you a good doctor.,Je vais te trouver un bon toubib.
I will find you a good doctor.,Je vous trouverai un bon médecin.
I want you to go to the post office.,Je veux que tu ailles au bureau de poste.
I'll make you a model plane.,Je vais te faire une maquette d'avion.
I will forgive him out of consideration for you.,Je lui pardonnerai en vertu de la considération que je vous porte.
There's a phone call for you from Akemi.,Il y a un appel téléphonique pour toi de la part d'Akemi.
I want you to read this book.,Je veux que tu lises ce livre.
I want you to read this book.,Je veux que vous lisiez ce livre.
Didn't I lend you some books? I'm sure I did.,Ne t'ai-je pas prêté des livres ? Je suis certain de l'avoir fait.
You took the words right out of my mouth.,Tu m'as volé les mots de la bouche.
You took the words right out of my mouth.,Tu m'as ôté les mots de la bouche.
You took the words right out of my mouth.,Vous m'avez ôté les mots de la bouche.
"What you need is, in a word, patience.","Ce dont tu as besoin, en un mot, c'est de patience."
All you need is to get a driver's license.,"Tout ce dont tu as besoin, c'est d'un permis de conduire."
I will tell you a secret.,Je vais te dire un secret.
I have a message for you from her.,J'ai un message pour toi de sa part.
You can't have understood what he said.,Tu ne peux pas avoir compris ce qu'il a dit.
You can't have understood what he said.,Vous ne pouvez pas avoir compris ce qu'il disait.
I feel for you.,Je compatis avec toi.
I'll boil you the beans.,Je te ferai ta tambouille.
I refuse to be treated like a slave by you.,Je refuse que tu me traites comme un esclave.
I refuse to be treated like a slave by you.,Je refuse que tu me traites comme une esclave.
Your telegram arrived just as I was about to telephone you.,Ta dépêche est arrivée juste alors que j'étais sur le point de te téléphoner.
You are wanted on the phone.,On te réclame au téléphone.
I must offer you an apology for coming late.,Je vous dois des excuses pour mon retard.
I'll lend it to you.,Je vais te le prêter.
I'll lend it to you.,Je vais te la prêter.
I'll lend it to you.,Je te la prêterai.
I'll lend it to you.,Je te le prêterai.
I'll lend it to you.,Je vous le prêterai.
I'll lend it to you.,Je vous la prêterai.
Do you know good from evil?,Sais-tu faire la différence entre le bien et le mal ?
We'll give you your revenge.,Nous te donnerons ta revanche.
Dozens of letters are awaiting you.,Des douzaines de lettres vous attendent.
I'll make you a new suit.,Je te ferai un nouveau costume.
I'll make you a new suit.,Je vous ferai un nouveau complet.
Let me give you a bit of advice.,Laisse-moi te donner un conseil.
Let me give you a bit of advice.,Permettez-moi de vous donner un conseil.
I will never forget seeing you.,Je n'oublierai jamais vous avoir vu.
I will never forget seeing you.,Je n'oublierai jamais t'avoir vu.
I will never forget seeing you.,Je n'oublierai jamais vous avoir vus.
I will never forget seeing you.,Je n'oublierai jamais vous avoir vue.
I will never forget seeing you.,Je n'oublierai jamais t'avoir vue.
"I was going to write to you, but I was too busy.",J'allais t'écrire mais j'ai été trop occupé.
Who is that girl waving to you?,Qui est cette fille qui te fait signe ?
I'll teach you how to drive a car.,Je t'apprendrai comment conduire une voiture.
I would like you to go instead of me.,Je préférerais que tu y ailles au lieu de moi.
I'll lend you my notebook.,Je te prêterai mon carnet de notes.
I'll lend you my notebook.,Je vous prêterai mon carnet de notes.
I'm adamant that you should go.,J'insiste que vous devez partir.
I want you to go.,Je veux que vous partiez.
I have been reflecting on what you said to me.,J'ai réfléchi à ce que tu m'as dit.
I have been reflecting on what you said to me.,J'ai réfléchi à ce que vous m'avez dit.
I wanted to show it to you.,Je voulais te le montrer.
I wanted to show it to you.,Je voulais te la montrer.
I am counting on you to deliver the opening address.,Je compte sur vous pour prononcer le discours d'ouverture.
I waited outside on the chance of seeing you.,J'ai attendu dehors dans l'espoir de vous voir.
I'm very glad to see you.,Je suis très heureux de vous voir.
I am looking forward to seeing you.,Je suis impatient de vous rencontrer.
How I've missed you!,Comme tu m'as manqué !
